Year,river,date,DO,BOD,COD,SS,pH,NH3N,TEMP,COND,SAL,TUR,TC,Class
2022,KLANG,9/9/2022,5.916,8,20,26,7.232,1.16,26.352,167.028,0.078,33.58,680000,Slightly Polluted
2022,KLANG,24/11/2022,6.084,8,18,30,7.055,0.58,27.439,147.68,0.068,24.264,400000,Slightly Polluted
2022,BUNOS,13/1/2022,3.871,679,1970,3900,6.393,22,27.963,326.21,0.154,324.392,73000000,Polluted
2022,BUNOS,14/3/2022,4.871,37,140,36,6.873,0.68,28.706,299.51,0.141,25.703,6300000,Polluted
2022,BUNOS,17/5/2022,5.308,65,177,36,6.714,0.06,28.366,303.118,0.143,29.027,129000000,Polluted
2022,BUNOS,16/7/2022,4.356,45,117,65,6.723,3.16,28.946,306.352,0.144,28.292,100000000,Polluted
2022,BUNOS,15/9/2022,3.823,201,456,358,6.599,2.64,28.073,253.748,0.119,152.383,13900000,Polluted
2022,BUNOS,10/11/2022,6.353,146,331,70,6.044,0.33,27.783,632.011,0.304,51.934,123000000,Polluted
2022,PENCHALA,14/1/2022,6.908,<1.000,2,2,6.447,<0.010,27.758,46.293,0.02,3.561,23000,Clean
2022,PENCHALA,16/3/2022,6.279,<1.000,5,2,6.535,0.05,27.693,37.653,0.016,8.545,60000,Clean
2022,PENCHALA,18/5/2022,6.477,1,11,4,6.354,0.5,28.63,60.453,0.027,9.09,55000,Clean
2022,PENCHALA,15/7/2022,5.496,4,13,8,5.999,0.59,27.945,52.869,0.023,4.941,34000,Clean
2022,PENCHALA,15/9/2022,6.398,2,6,10,6.342,0.28,28.26,61.189,0.027,9.157,57000,Clean
2022,PENCHALA,15/11/2022,7.08,3,8,3,6.283,0.29,27.168,67.922,0.03,8.085,32000,Clean
2022,JINJANG,15/1/2022,4.241,7,39,32,7.145,7.56,29.092,314.277,0.148,20.422,540000,Slightly Polluted
2022,JINJANG,11/3/2022,5.25,8,23,30,7.093,3.31,28.57,193.78,0.09,27.317,220000,Slightly Polluted
2022,JINJANG,19/5/2022,6.466,12,33,21,7.466,6.55,29.739,275.956,0.129,17.799,590000,Slightly Polluted
2022,JINJANG,13/7/2022,5.744,5,28,26,7.06,4.97,27.58,206.728,0.097,23.19,650000,Slightly Polluted
2022,JINJANG,14/9/2022,6.252,14,45,21,7.386,7.84,29.12,273.737,0.128,15.394,1080000,Slightly Polluted
2022,JINJANG,15/11/2022,6.051,5,21,17,7.146,3.61,27.577,199.188,0.093,24.245,285000,Slightly Polluted
2022,KEROH,15/1/2022,4.384,7,39,31,7.173,4.56,28.198,307.605,0.145,12.186,790000,Slightly Polluted
2022,KEROH,11/3/2022,5.475,3,18,15,7.196,2.18,28.676,227.329,0.106,19.766,350000,Slightly Polluted
2022,KEROH,19/5/2022,4.206,7,33,24,7.224,7.07,29.353,292.406,0.137,20.496,690000,Slightly Polluted
